frame,action,actionTime,frameMs,fps,windStrength,windTarget,headLinearSpeed,headAngularSpeed,maxDeviation,maxStaticPenetration,maxFrontStaticPenetration,maxFrontMeshPenetration,finite
142,0,0.382403,2.5518,391.880,0.000000,0.000000,0.000000,0.0000,0.221162,0.003111,0.003111,0.000000,True
143,0,0.384955,2.4985,400.240,0.000000,0.000000,0.000000,0.0000,0.221195,0.003087,0.003087,0.000000,True
144,0,0.387454,2.5477,392.511,0.000000,0.000000,0.000000,0.0000,0.221211,0.003066,0.003066,0.000000,True
145,0,0.390002,2.4989,400.176,0.000000,0.000000,0.000000,0.0000,0.221216,0.003044,0.003044,0.000000,True
146,0,0.392501,2.5421,393.376,0.000000,0.000000,0.000000,0.0000,0.221224,0.003025,0.003025,0.000000,True
147,0,0.395044,2.4905,401.526,0.000000,0.000000,0.000000,0.0000,0.221224,0.003006,0.003006,0.000000,True
148,0,0.397534,2.5612,390.442,0.000000,0.000000,0.000000,0.0000,0.221263,0.002992,0.002992,0.000000,True
149,0,0.400096,2.6604,375.883,0.000000,0.000000,0.000000,0.0000,0.221321,0.002979,0.002979,0.000000,True
150,0,0.402757,2.5798,387.627,0.000000,0.000000,0.000000,0.0000,0.221401,0.002968,0.002968,0.000000,True
151,0,0.405337,2.5378,394.042,0.000000,0.000000,0.000000,0.0000,0.221511,0.002964,0.002964,0.000000,True
152,0,0.407876,2.5714,388.893,0.000000,0.000000,0.000000,0.0000,0.221643,0.002965,0.002965,0.000000,True
153,0,0.410447,2.5316,395.007,0.000000,0.000000,0.000000,0.0000,0.221787,0.002971,0.002971,0.000000,True
154,0,0.412981,2.5519,391.865,0.000000,0.000000,0.000000,0.0000,0.221936,0.002982,0.002982,0.000000,True
155,0,0.415533,2.5198,396.857,0.000000,0.000000,0.000000,0.0000,0.222053,0.002976,0.002976,0.000000,True
156,0,0.418053,2.5488,392.342,0.000000,0.000000,0.000000,0.0000,0.222150,0.002951,0.002951,0.000000,True
157,0,0.420602,2.5099,398.422,0.000000,0.000000,0.000000,0.0000,0.222206,0.002915,0.002915,0.000000,True
158,0,0.423113,2.5548,391.420,0.000000,0.000000,0.000000,0.0000,0.222252,0.002878,0.002878,0.000000,True
159,0,0.425668,2.5117,398.137,0.000000,0.000000,0.000000,0.0000,0.222297,0.002839,0.002839,0.000000,True
160,0,0.428180,2.6024,384.261,0.000000,0.000000,0.000000,0.0000,0.222359,0.002804,0.002804,0.000000,True
161,0,0.430783,2.5075,398.804,0.000000,0.000000,0.000000,0.0000,0.222434,0.002768,0.002768,0.000000,True
162,0,0.433290,2.5465,392.696,0.000000,0.000000,0.000000,0.0000,0.222540,0.002741,0.002741,0.000000,True
163,0,0.435837,2.5160,397.456,0.000000,0.000000,0.000000,0.0000,0.222672,0.002718,0.002718,0.000000,True
164,0,0.438353,2.5691,389.241,0.000000,0.000000,0.000000,0.0000,0.222833,0.002703,0.002703,0.000000,True
165,0,0.440923,2.5187,397.030,0.000000,0.000000,0.000000,0.0000,0.223013,0.002695,0.002695,0.000000,True
166,0,0.443442,2.5107,398.295,0.000000,0.000000,0.000000,0.0000,0.223224,0.002697,0.002697,0.000000,True
